state,z,te_cp_gap
conf_picard_coarse,-0.00000,0.05390
conf_picard_coarse,0.01441,0.44519
conf_picard_coarse,0.02883,0.29593
conf_picard_coarse,0.04324,0.30473
conf_picard_coarse,0.05765,0.13673
conf_picard_coarse,0.07207,0.02422
conf_picard_coarse,0.08648,0.04350
conf_picard_coarse,0.10089,0.31949
conf_picard_coarse,0.11531,0.14888
conf_picard_coarse,0.12972,0.40489
conf_picard_coarse,0.14413,0.15374
conf_picard_coarse,0.15855,0.11320
conf_picard_coarse,0.17296,0.00442
conf_picard_coarse,0.18737,0.19753
conf_picard_coarse,0.20179,0.24355
conf_picard_coarse,0.21620,0.10758
conf_picard_coarse,0.23061,0.17157
conf_picard_coarse,0.24503,0.58556
conf_picard_coarse,0.25944,0.56917
conf_picard_coarse,0.27385,0.31016
conf_picard_coarse,0.28827,0.59741
conf_picard_coarse,0.30268,0.00970
conf_picard_coarse,0.31709,0.53438
conf_picard_coarse,0.33150,0.14676
conf_picard_coarse,0.34592,0.06968
conf_picard_coarse,0.36033,0.06577
conf_picard_coarse,0.37474,0.13569
conf_picard_coarse,0.38916,0.09451
conf_picard_coarse,0.40357,0.24841
conf_picard_coarse,0.41798,0.27249
conf_picard_coarse,0.43240,1.00928
conf_picard_coarse,0.44681,0.72266
conf_picard_coarse,0.46122,0.20377
conf_picard_coarse,0.47564,0.03225
conf_picard_coarse,0.49005,0.01885
conf_picard_coarse,0.50446,0.22825
conf_picard_coarse,0.51888,0.06865
conf_picard_coarse,0.53329,0.04398
conf_picard_coarse,0.54770,0.10996
conf_picard_coarse,0.56212,0.08154
conf_picard_coarse,0.57653,0.44467
conf_picard_coarse,0.59094,0.04798
conf_picard_coarse,0.60536,0.29372
conf_picard_coarse,0.61977,0.10347
conf_picard_coarse,0.63418,0.25698
conf_picard_coarse,0.64860,0.64933
conf_picard_coarse,0.66301,0.31002
conf_picard_coarse,0.67742,0.47867
conf_picard_coarse,0.69184,0.23366
conf_picard_coarse,0.70625,0.19572
conf_picard_coarse,0.72066,0.20907
conf_picard_coarse,0.73508,0.23391
conf_picard_coarse,0.74949,0.46863
conf_picard_coarse,0.76390,0.51555
conf_picard_coarse,0.77832,0.36164
conf_picard_coarse,0.79273,0.53530
conf_picard_coarse,0.80714,0.04972
conf_picard_coarse,0.82156,0.65811
conf_picard_coarse,0.83597,0.12450
conf_picard_coarse,0.85038,0.57072
conf_picard_coarse,0.86480,0.30721
conf_picard_coarse,0.87921,0.17757
conf_picard_coarse,0.89362,0.02666
conf_picard_coarse,0.90803,0.09826
conf_picard_coarse,0.92245,0.11397
conf_picard_coarse,0.93686,0.25157
conf_picard_coarse,0.95127,0.42302
conf_picard_coarse,0.96569,0.51193
conf_picard_coarse,0.98010,0.05284
conf_picard_coarse,0.99451,0.43291
conf_picard_coarse,1.00893,0.21755
conf_picard_coarse,1.02334,0.99263
conf_picard_coarse,1.03775,0.15203
conf_picard_coarse,1.05217,0.26448
conf_picard_coarse,1.06658,0.51747
conf_picard_coarse,1.08099,0.14293
conf_picard_coarse,1.09541,0.46430
conf_picard_coarse,1.10982,0.22056
conf_picard_coarse,1.12423,0.30385
conf_picard_coarse,1.13865,0.13657
conf_picard_coarse,1.15306,0.10975
conf_picard_coarse,1.16747,0.00905
conf_picard_coarse,1.18189,0.37880
conf_picard_medium,-0.00000,0.07538
conf_picard_medium,0.00721,0.05023
conf_picard_medium,0.01441,0.44645
conf_picard_medium,0.02162,0.17875
conf_picard_medium,0.02883,0.50120
conf_picard_medium,0.03603,0.12720
conf_picard_medium,0.04324,0.13302
conf_picard_medium,0.05045,0.05497
conf_picard_medium,0.05765,0.05264
conf_picard_medium,0.06486,0.08832
conf_picard_medium,0.07207,0.09433
conf_picard_medium,0.07927,0.06960
conf_picard_medium,0.08648,0.34370
conf_picard_medium,0.09369,0.35621
conf_picard_medium,0.10089,0.06713
conf_picard_medium,0.10810,0.02187
conf_picard_medium,0.11531,0.44939
conf_picard_medium,0.12251,0.13737
conf_picard_medium,0.12972,0.47124
conf_picard_medium,0.13693,0.61280
conf_picard_medium,0.14413,0.66669
conf_picard_medium,0.15134,0.86525
conf_picard_medium,0.15855,0.53258
conf_picard_medium,0.16575,0.13153
conf_picard_medium,0.17296,0.17628
conf_picard_medium,0.18017,0.30550
conf_picard_medium,0.18737,0.38124
conf_picard_medium,0.19458,0.51009
conf_picard_medium,0.20179,0.25988
conf_picard_medium,0.20899,0.29926
conf_picard_medium,0.21620,0.56961
conf_picard_medium,0.22341,0.08467
conf_picard_medium,0.23061,0.51866
conf_picard_medium,0.23782,0.26590
conf_picard_medium,0.24503,0.32033
conf_picard_medium,0.25223,0.00077
conf_picard_medium,0.25944,0.11295
conf_picard_medium,0.26665,0.52741
conf_picard_medium,0.27385,0.59764
conf_picard_medium,0.28106,0.20178
conf_picard_medium,0.28827,0.12559
conf_picard_medium,0.29547,0.47289
conf_picard_medium,0.30268,0.12394
conf_picard_medium,0.30988,0.09781
conf_picard_medium,0.31709,0.59386
conf_picard_medium,0.32430,0.25752
conf_picard_medium,0.33150,0.13074
conf_picard_medium,0.33871,0.10832
conf_picard_medium,0.34592,0.11702
conf_picard_medium,0.35312,0.32339
conf_picard_medium,0.36033,0.40964
conf_picard_medium,0.36754,0.82768
conf_picard_medium,0.37474,0.42939
conf_picard_medium,0.38195,0.26336
conf_picard_medium,0.38916,0.15589
conf_picard_medium,0.39636,0.10730
conf_picard_medium,0.40357,0.09333
conf_picard_medium,0.41078,0.08514
conf_picard_medium,0.41798,0.10274
conf_picard_medium,0.42519,0.11157
conf_picard_medium,0.43240,0.48391
conf_picard_medium,0.43960,0.16893
conf_picard_medium,0.44681,0.05079
conf_picard_medium,0.45402,0.51549
conf_picard_medium,0.46122,0.15721
conf_picard_medium,0.46843,0.52013
conf_picard_medium,0.47564,0.16394
conf_picard_medium,0.48284,0.05912
conf_picard_medium,0.49005,0.47448
conf_picard_medium,0.49726,0.34835
conf_picard_medium,0.50446,0.08455
conf_picard_medium,0.51167,0.02202
conf_picard_medium,0.51888,0.34400
conf_picard_medium,0.52608,0.01967
conf_picard_medium,0.53329,0.41599
conf_picard_medium,0.54050,0.27692
conf_picard_medium,0.54770,0.00739
conf_picard_medium,0.55491,0.39784
conf_picard_medium,0.56212,0.05541
conf_picard_medium,0.56932,0.40152
conf_picard_medium,0.57653,0.36827
conf_picard_medium,0.58374,0.35140
conf_picard_medium,0.59094,0.03870
conf_picard_medium,0.59815,0.23205
conf_picard_medium,0.60536,0.14682
conf_picard_medium,0.61256,0.11115
conf_picard_medium,0.61977,0.29061
conf_picard_medium,0.62698,0.03307
conf_picard_medium,0.63418,0.04489
conf_picard_medium,0.64139,0.39249
conf_picard_medium,0.64860,0.00735
conf_picard_medium,0.65580,0.12115
conf_picard_medium,0.66301,0.28681
conf_picard_medium,0.67022,0.41118
conf_picard_medium,0.67742,0.00019
conf_picard_medium,0.68463,0.00767
conf_picard_medium,0.69184,0.33135
conf_picard_medium,0.69904,0.18568
conf_picard_medium,0.70625,0.29659
conf_picard_medium,0.71346,0.19288
conf_picard_medium,0.72066,0.15748
conf_picard_medium,0.72787,0.64398
conf_picard_medium,0.73508,0.38930
conf_picard_medium,0.74228,0.18560
conf_picard_medium,0.74949,0.08905
conf_picard_medium,0.75670,0.10430
conf_picard_medium,0.76390,0.05310
conf_picard_medium,0.77111,0.07316
conf_picard_medium,0.77832,0.12646
conf_picard_medium,0.78552,0.03390
conf_picard_medium,0.79273,0.00684
conf_picard_medium,0.79994,0.02609
conf_picard_medium,0.80714,0.52369
conf_picard_medium,0.81435,0.59474
conf_picard_medium,0.82156,0.21084
conf_picard_medium,0.82876,0.10373
conf_picard_medium,0.83597,0.31052
conf_picard_medium,0.84318,0.36680
conf_picard_medium,0.85038,0.17786
conf_picard_medium,0.85759,0.49643
conf_picard_medium,0.86480,0.10830
conf_picard_medium,0.87200,0.50934
conf_picard_medium,0.87921,0.60227
conf_picard_medium,0.88642,0.58660
conf_picard_medium,0.89362,0.54310
conf_picard_medium,0.90083,0.13588
conf_picard_medium,0.90803,0.32448
conf_picard_medium,0.91524,0.06755
conf_picard_medium,0.92245,0.13957
conf_picard_medium,0.92965,0.01144
conf_picard_medium,0.93686,0.33747
conf_picard_medium,0.94407,0.42447
conf_picard_medium,0.95127,0.27544
conf_picard_medium,0.95848,0.47921
conf_picard_medium,0.96569,0.16005
conf_picard_medium,0.97289,0.20325
conf_picard_medium,0.98010,0.41381
conf_picard_medium,0.98731,0.28828
conf_picard_medium,0.99451,0.14847
conf_picard_medium,1.00172,0.18333
conf_picard_medium,1.00893,0.18982
conf_picard_medium,1.01613,0.27631
conf_picard_medium,1.02334,0.05921
conf_picard_medium,1.03055,0.01485
conf_picard_medium,1.03775,0.00857
conf_picard_medium,1.04496,0.01030
conf_picard_medium,1.05217,0.02878
conf_picard_medium,1.05937,0.32898
conf_picard_medium,1.06658,0.31736
conf_picard_medium,1.07379,0.53811
conf_picard_medium,1.08099,0.06836
conf_picard_medium,1.08820,0.24192
conf_picard_medium,1.09541,0.17885
conf_picard_medium,1.10261,0.19099
conf_picard_medium,1.10982,0.28676
conf_picard_medium,1.11703,0.39003
conf_picard_medium,1.12423,0.33015
conf_picard_medium,1.13144,0.79010
conf_picard_medium,1.13865,0.44494
conf_picard_medium,1.14585,0.60946
conf_picard_medium,1.15306,0.01378
conf_picard_medium,1.16027,0.10285
conf_picard_medium,1.16747,0.09054
conf_picard_medium,1.17468,0.15331
conf_picard_medium,1.18189,0.35359
conf_picard_medium,1.18909,0.21929
conf_newton_medium,-0.00000,0.01960
conf_newton_medium,0.00721,0.04890
conf_newton_medium,0.01441,0.35448
conf_newton_medium,0.02162,0.09359
conf_newton_medium,0.02883,0.41768
conf_newton_medium,0.03603,0.05243
conf_newton_medium,0.04324,0.05795
conf_newton_medium,0.05045,0.01642
conf_newton_medium,0.05765,0.01474
conf_newton_medium,0.06486,0.02211
conf_newton_medium,0.07207,0.03105
conf_newton_medium,0.07927,0.00883
conf_newton_medium,0.08648,0.40534
conf_newton_medium,0.09369,0.29363
conf_newton_medium,0.10089,0.00598
conf_newton_medium,0.10810,0.07788
conf_newton_medium,0.11531,0.38556
conf_newton_medium,0.12251,0.07628
conf_newton_medium,0.12972,0.40831
conf_newton_medium,0.13693,0.53454
conf_newton_medium,0.14413,0.57889
conf_newton_medium,0.15134,0.75700
conf_newton_medium,0.15855,0.42349
conf_newton_medium,0.16575,0.01049
conf_newton_medium,0.17296,0.06889
conf_newton_medium,0.18017,0.42555
conf_newton_medium,0.18737,0.25740
conf_newton_medium,0.19458,0.37169
conf_newton_medium,0.20179,0.42387
conf_newton_medium,0.20899,0.45534
conf_newton_medium,0.21620,0.40363
conf_newton_medium,0.22341,0.08424
conf_newton_medium,0.23061,0.37658
conf_newton_medium,0.23782,0.41079
conf_newton_medium,0.24503,0.44166
conf_newton_medium,0.25223,0.12422
conf_newton_medium,0.25944,0.00935
conf_newton_medium,0.26665,0.42085
conf_newton_medium,0.27385,0.48308
conf_newton_medium,0.28106,0.08771
conf_newton_medium,0.28827,0.01761
conf_newton_medium,0.29547,0.36923
conf_newton_medium,0.30268,0.02884
conf_newton_medium,0.30988,0.00032
conf_newton_medium,0.31709,0.49476
conf_newton_medium,0.32430,0.15792
conf_newton_medium,0.33150,0.03582
conf_newton_medium,0.33871,0.02007
conf_newton_medium,0.34592,0.02352
conf_newton_medium,0.35312,0.42250
conf_newton_medium,0.36033,0.30837
conf_newton_medium,0.36754,0.71121
conf_newton_medium,0.37474,0.31926
conf_newton_medium,0.38195,0.15902
conf_newton_medium,0.38916,0.05485
conf_newton_medium,0.39636,0.01448
conf_newton_medium,0.40357,0.00060
conf_newton_medium,0.41078,0.00374
conf_newton_medium,0.41798,0.03170
conf_newton_medium,0.42519,0.03254
conf_newton_medium,0.43240,0.39659
conf_newton_medium,0.43960,0.07686
conf_newton_medium,0.44681,0.03630
conf_newton_medium,0.45402,0.44055
conf_newton_medium,0.46122,0.07635
conf_newton_medium,0.46843,0.45640
conf_newton_medium,0.47564,0.10631
conf_newton_medium,0.48284,0.00070
conf_newton_medium,0.49005,0.42549
conf_newton_medium,0.49726,0.38708
conf_newton_medium,0.50446,0.10998
conf_newton_medium,0.51167,0.04469
conf_newton_medium,0.51888,0.31442
conf_newton_medium,0.52608,0.01443
conf_newton_medium,0.53329,0.38159
conf_newton_medium,0.54050,0.31095
conf_newton_medium,0.54770,0.04341
conf_newton_medium,0.55491,0.42983
conf_newton_medium,0.56212,0.08434
conf_newton_medium,0.56932,0.43104
conf_newton_medium,0.57653,0.40716
conf_newton_medium,0.58374,0.39699
conf_newton_medium,0.59094,0.08929
conf_newton_medium,0.59815,0.16042
conf_newton_medium,0.60536,0.07552
conf_newton_medium,0.61256,0.03949
conf_newton_medium,0.61977,0.36024
conf_newton_medium,0.62698,0.10513
conf_newton_medium,0.63418,0.11350
conf_newton_medium,0.64139,0.30980
conf_newton_medium,0.64860,0.09557
conf_newton_medium,0.65580,0.03836
conf_newton_medium,0.66301,0.37058
conf_newton_medium,0.67022,0.50437
conf_newton_medium,0.67742,0.09423
conf_newton_medium,0.68463,0.10401
conf_newton_medium,0.69184,0.42529
conf_newton_medium,0.69904,0.09982
conf_newton_medium,0.70625,0.20969
conf_newton_medium,0.71346,0.09672
conf_newton_medium,0.72066,0.23968
conf_newton_medium,0.72787,0.55212
conf_newton_medium,0.73508,0.29011
conf_newton_medium,0.74228,0.09777
conf_newton_medium,0.74949,0.00406
conf_newton_medium,0.75670,0.04086
conf_newton_medium,0.76390,0.02484
conf_newton_medium,0.77111,0.00387
conf_newton_medium,0.77832,0.06706
conf_newton_medium,0.78552,0.03716
conf_newton_medium,0.79273,0.06613
conf_newton_medium,0.79994,0.04536
conf_newton_medium,0.80714,0.45717
conf_newton_medium,0.81435,0.53072
conf_newton_medium,0.82156,0.15533
conf_newton_medium,0.82876,0.05254
conf_newton_medium,0.83597,0.36698
conf_newton_medium,0.84318,0.42248
conf_newton_medium,0.85038,0.12868
conf_newton_medium,0.85759,0.44561
conf_newton_medium,0.86480,0.05104
conf_newton_medium,0.87200,0.46479
conf_newton_medium,0.87921,0.56278
conf_newton_medium,0.88642,0.55121
conf_newton_medium,0.89362,0.51138
conf_newton_medium,0.90083,0.11659
conf_newton_medium,0.90803,0.34636
conf_newton_medium,0.91524,0.05178
conf_newton_medium,0.92245,0.12542
conf_newton_medium,0.92965,0.01548
conf_newton_medium,0.93686,0.35938
conf_newton_medium,0.94407,0.40223
conf_newton_medium,0.95127,0.26117
conf_newton_medium,0.95848,0.46078
conf_newton_medium,0.96569,0.13564
conf_newton_medium,0.97289,0.22963
conf_newton_medium,0.98010,0.37898
conf_newton_medium,0.98731,0.25005
conf_newton_medium,0.99451,0.19381
conf_newton_medium,1.00172,0.12719
conf_newton_medium,1.00893,0.14036
conf_newton_medium,1.01613,0.33411
conf_newton_medium,1.02334,0.12372
conf_newton_medium,1.03055,0.07770
conf_newton_medium,1.03775,0.06771
conf_newton_medium,1.04496,0.06972
conf_newton_medium,1.05217,0.08589
conf_newton_medium,1.05937,0.29592
conf_newton_medium,1.06658,0.29001
conf_newton_medium,1.07379,0.49815
conf_newton_medium,1.08099,0.10673
conf_newton_medium,1.08820,0.27755
conf_newton_medium,1.09541,0.15455
conf_newton_medium,1.10261,0.22047
conf_newton_medium,1.10982,0.31643
conf_newton_medium,1.11703,0.41917
conf_newton_medium,1.12423,0.37083
conf_newton_medium,1.13144,0.75504
conf_newton_medium,1.13865,0.39959
conf_newton_medium,1.14585,0.58272
conf_newton_medium,1.15306,0.03526
conf_newton_medium,1.16027,0.13672
conf_newton_medium,1.16747,0.10518
conf_newton_medium,1.17468,0.16577
conf_newton_medium,1.18189,0.38908
conf_newton_medium,1.18909,0.21684
ls_m1_coarse,-0.00000,0.00000
ls_m1_coarse,0.01441,0.00000
ls_m1_coarse,0.02883,0.00000
ls_m1_coarse,0.04324,0.00000
ls_m1_coarse,0.05765,0.00000
ls_m1_coarse,0.07207,0.00000
ls_m1_coarse,0.08648,0.00000
ls_m1_coarse,0.10089,0.00000
ls_m1_coarse,0.11531,0.00000
ls_m1_coarse,0.12972,0.00000
ls_m1_coarse,0.14413,0.00000
ls_m1_coarse,0.15855,0.00000
ls_m1_coarse,0.17296,0.00000
ls_m1_coarse,0.18737,0.00000
ls_m1_coarse,0.20179,0.00000
ls_m1_coarse,0.21620,0.00000
ls_m1_coarse,0.23061,0.00000
ls_m1_coarse,0.24503,0.00000
ls_m1_coarse,0.25944,0.00000
ls_m1_coarse,0.27385,0.00000
ls_m1_coarse,0.28827,0.00000
ls_m1_coarse,0.30268,0.00000
ls_m1_coarse,0.31709,0.00000
