state,z,te_cp_gap
ls_m1_coarse,0.33150,0.00000
ls_m1_coarse,0.34592,0.00000
ls_m1_coarse,0.36033,0.00000
ls_m1_coarse,0.37474,0.00000
ls_m1_coarse,0.38916,0.00000
ls_m1_coarse,0.40357,0.00000
ls_m1_coarse,0.41798,0.00000
ls_m1_coarse,0.43240,0.00000
ls_m1_coarse,0.44681,0.00000
ls_m1_coarse,0.46122,0.00000
ls_m1_coarse,0.47564,0.00000
ls_m1_coarse,0.49005,0.00000
ls_m1_coarse,0.50446,0.00000
ls_m1_coarse,0.51888,0.00000
ls_m1_coarse,0.53329,0.00000
ls_m1_coarse,0.54770,0.00000
ls_m1_coarse,0.56212,0.00000
ls_m1_coarse,0.57653,0.00000
ls_m1_coarse,0.59094,0.00000
ls_m1_coarse,0.60536,0.00000
ls_m1_coarse,0.61977,0.00000
ls_m1_coarse,0.63418,0.00000
ls_m1_coarse,0.64860,0.00000
ls_m1_coarse,0.66301,0.00000
ls_m1_coarse,0.67742,0.00000
ls_m1_coarse,0.69184,0.00000
ls_m1_coarse,0.70625,0.00000
ls_m1_coarse,0.72066,0.00000
ls_m1_coarse,0.73508,0.00000
ls_m1_coarse,0.74949,0.00000
ls_m1_coarse,0.76390,0.00000
ls_m1_coarse,0.77832,0.00000
ls_m1_coarse,0.79273,0.00000
ls_m1_coarse,0.80714,0.00000
ls_m1_coarse,0.82156,0.00000
ls_m1_coarse,0.83597,0.00000
ls_m1_coarse,0.85038,0.00000
ls_m1_coarse,0.86480,0.00000
ls_m1_coarse,0.87921,0.00000
ls_m1_coarse,0.89362,0.00000
ls_m1_coarse,0.90803,0.00000
ls_m1_coarse,0.92245,0.00000
ls_m1_coarse,0.93686,0.00000
ls_m1_coarse,0.95127,0.00000
ls_m1_coarse,0.96569,0.00000
ls_m1_coarse,0.98010,0.00000
ls_m1_coarse,0.99451,0.00000
ls_m1_coarse,1.00893,0.00000
ls_m1_coarse,1.02334,0.00000
ls_m1_coarse,1.03775,0.00000
ls_m1_coarse,1.05217,0.00000
ls_m1_coarse,1.06658,0.00000
ls_m1_coarse,1.08099,0.00000
ls_m1_coarse,1.09541,0.00000
ls_m1_coarse,1.10982,0.00000
ls_m1_coarse,1.12423,0.00000
ls_m1_coarse,1.13865,0.00000
ls_m1_coarse,1.15306,0.00000
ls_m1_coarse,1.16747,0.00000
ls_m1_coarse,1.18189,0.00000
ls_m1_coarse,1.19630,0.00000
ls_m4_coarse,-0.00000,0.00000
ls_m4_coarse,0.01441,0.00000
ls_m4_coarse,0.02883,0.00000
ls_m4_coarse,0.04324,0.00000
ls_m4_coarse,0.05765,0.00000
ls_m4_coarse,0.07207,0.00000
ls_m4_coarse,0.08648,0.00000
ls_m4_coarse,0.10089,0.00000
ls_m4_coarse,0.11531,0.00000
ls_m4_coarse,0.12972,0.00000
ls_m4_coarse,0.14413,0.00000
ls_m4_coarse,0.15855,0.00000
ls_m4_coarse,0.17296,0.00000
ls_m4_coarse,0.18737,0.00000
ls_m4_coarse,0.20179,0.00000
ls_m4_coarse,0.21620,0.00000
ls_m4_coarse,0.23061,0.00000
ls_m4_coarse,0.24503,0.00000
ls_m4_coarse,0.25944,0.00000
ls_m4_coarse,0.27385,0.00000
ls_m4_coarse,0.28827,0.00000
ls_m4_coarse,0.30268,0.00000
ls_m4_coarse,0.31709,0.00000
ls_m4_coarse,0.33150,0.00000
ls_m4_coarse,0.34592,0.00000
ls_m4_coarse,0.36033,0.00000
ls_m4_coarse,0.37474,0.00000
ls_m4_coarse,0.38916,0.00000
ls_m4_coarse,0.40357,0.00000
ls_m4_coarse,0.41798,0.00000
ls_m4_coarse,0.43240,0.00000
ls_m4_coarse,0.44681,0.00000
ls_m4_coarse,0.46122,0.00000
ls_m4_coarse,0.47564,0.00000
ls_m4_coarse,0.49005,0.00000
ls_m4_coarse,0.50446,0.00000
ls_m4_coarse,0.51888,0.00000
ls_m4_coarse,0.53329,0.00000
ls_m4_coarse,0.54770,0.00000
ls_m4_coarse,0.56212,0.00000
ls_m4_coarse,0.57653,0.00000
ls_m4_coarse,0.59094,0.00000
ls_m4_coarse,0.60536,0.00000
ls_m4_coarse,0.61977,0.00000
ls_m4_coarse,0.63418,0.00000
ls_m4_coarse,0.64860,0.00000
ls_m4_coarse,0.66301,0.00000
ls_m4_coarse,0.67742,0.00000
ls_m4_coarse,0.69184,0.00000
ls_m4_coarse,0.70625,0.00000
ls_m4_coarse,0.72066,0.00000
ls_m4_coarse,0.73508,0.00000
ls_m4_coarse,0.74949,0.00000
ls_m4_coarse,0.76390,0.00000
ls_m4_coarse,0.77832,0.00000
ls_m4_coarse,0.79273,0.00000
ls_m4_coarse,0.80714,0.00000
ls_m4_coarse,0.82156,0.00000
ls_m4_coarse,0.83597,0.00000
ls_m4_coarse,0.85038,0.00000
ls_m4_coarse,0.86480,0.00000
ls_m4_coarse,0.87921,0.00000
ls_m4_coarse,0.89362,0.00000
ls_m4_coarse,0.90803,0.00000
ls_m4_coarse,0.92245,0.00000
ls_m4_coarse,0.93686,0.00000
ls_m4_coarse,0.95127,0.00000
ls_m4_coarse,0.96569,0.00000
ls_m4_coarse,0.98010,0.00000
ls_m4_coarse,0.99451,0.00000
ls_m4_coarse,1.00893,0.00000
ls_m4_coarse,1.02334,0.00000
ls_m4_coarse,1.03775,0.00000
ls_m4_coarse,1.05217,0.00000
ls_m4_coarse,1.06658,0.00000
ls_m4_coarse,1.08099,0.00000
ls_m4_coarse,1.09541,0.00000
ls_m4_coarse,1.10982,0.00000
ls_m4_coarse,1.12423,0.00000
ls_m4_coarse,1.13865,0.00000
ls_m4_coarse,1.15306,0.00000
ls_m4_coarse,1.16747,0.00000
ls_m4_coarse,1.18189,0.00000
ls_m4_coarse,1.19630,0.00000
ls_newton_medium,-0.00000,0.00000
ls_newton_medium,0.00721,0.00000
ls_newton_medium,0.01441,0.00000
ls_newton_medium,0.02162,0.00000
ls_newton_medium,0.02883,0.00000
ls_newton_medium,0.03603,0.00000
ls_newton_medium,0.04324,0.00000
ls_newton_medium,0.05045,0.00000
ls_newton_medium,0.05765,0.00000
ls_newton_medium,0.06486,0.00000
ls_newton_medium,0.07207,0.00000
ls_newton_medium,0.07927,0.00000
ls_newton_medium,0.08648,0.00000
ls_newton_medium,0.09369,0.00000
ls_newton_medium,0.10089,0.00000
ls_newton_medium,0.10810,0.00000
ls_newton_medium,0.11531,0.00000
ls_newton_medium,0.12251,0.00000
ls_newton_medium,0.12972,0.00000
ls_newton_medium,0.13693,0.00000
ls_newton_medium,0.14413,0.00000
ls_newton_medium,0.15134,0.00000
ls_newton_medium,0.15855,0.00000
ls_newton_medium,0.16575,0.00000
ls_newton_medium,0.17296,0.00000
ls_newton_medium,0.18017,0.00000
ls_newton_medium,0.18737,0.00000
ls_newton_medium,0.19458,0.00000
ls_newton_medium,0.20179,0.00000
ls_newton_medium,0.20899,0.00000
ls_newton_medium,0.21620,0.00000
ls_newton_medium,0.22341,0.00000
ls_newton_medium,0.23061,0.00000
ls_newton_medium,0.23782,0.00000
ls_newton_medium,0.24503,0.00000
ls_newton_medium,0.25223,0.00000
ls_newton_medium,0.25944,0.00000
ls_newton_medium,0.26665,0.00000
ls_newton_medium,0.27385,0.00000
ls_newton_medium,0.28106,0.00000
ls_newton_medium,0.28827,0.00000
ls_newton_medium,0.29547,0.00000
ls_newton_medium,0.30268,0.00000
ls_newton_medium,0.30988,0.00000
ls_newton_medium,0.31709,0.00000
ls_newton_medium,0.32430,0.00000
ls_newton_medium,0.33150,0.00000
ls_newton_medium,0.33871,0.00000
ls_newton_medium,0.34592,0.00000
ls_newton_medium,0.35312,0.00000
ls_newton_medium,0.36033,0.00000
ls_newton_medium,0.36754,0.00000
ls_newton_medium,0.37474,0.00000
ls_newton_medium,0.38195,0.00000
ls_newton_medium,0.38916,0.00000
ls_newton_medium,0.39636,0.00000
ls_newton_medium,0.40357,0.00000
ls_newton_medium,0.41078,0.00000
ls_newton_medium,0.41798,0.00000
ls_newton_medium,0.42519,0.00000
ls_newton_medium,0.43240,0.00000
ls_newton_medium,0.43960,0.00000
ls_newton_medium,0.44681,0.00000
ls_newton_medium,0.45402,0.00000
ls_newton_medium,0.46122,0.00000
ls_newton_medium,0.46843,0.00000
ls_newton_medium,0.47564,0.00000
ls_newton_medium,0.48284,0.00000
ls_newton_medium,0.49005,0.00000
ls_newton_medium,0.49726,0.00000
ls_newton_medium,0.50446,0.00000
ls_newton_medium,0.51167,0.00000
ls_newton_medium,0.51888,0.00000
ls_newton_medium,0.52608,0.00000
ls_newton_medium,0.53329,0.00000
ls_newton_medium,0.54050,0.00000
ls_newton_medium,0.54770,0.00000
ls_newton_medium,0.55491,0.00000
ls_newton_medium,0.56212,0.00000
ls_newton_medium,0.56932,0.00000
ls_newton_medium,0.57653,0.00000
ls_newton_medium,0.58374,0.00000
ls_newton_medium,0.59094,0.00000
ls_newton_medium,0.59815,0.00000
ls_newton_medium,0.60536,0.00000
ls_newton_medium,0.61256,0.00000
ls_newton_medium,0.61977,0.00000
ls_newton_medium,0.62698,0.00000
ls_newton_medium,0.63418,0.00000
ls_newton_medium,0.64139,0.00000
ls_newton_medium,0.64860,0.00000
ls_newton_medium,0.65580,0.00000
ls_newton_medium,0.66301,0.00000
ls_newton_medium,0.67022,0.00000
ls_newton_medium,0.67742,0.00000
ls_newton_medium,0.68463,0.00000
ls_newton_medium,0.69184,0.00000
ls_newton_medium,0.69904,0.00000
ls_newton_medium,0.70625,0.00000
ls_newton_medium,0.71346,0.00000
ls_newton_medium,0.72066,0.00000
ls_newton_medium,0.72787,0.00000
ls_newton_medium,0.73508,0.00000
ls_newton_medium,0.74228,0.00000
ls_newton_medium,0.74949,0.00000
ls_newton_medium,0.75670,0.00000
ls_newton_medium,0.76390,0.00000
ls_newton_medium,0.77111,0.00000
ls_newton_medium,0.77832,0.00000
ls_newton_medium,0.78552,0.00000
ls_newton_medium,0.79273,0.00000
ls_newton_medium,0.79994,0.00000
ls_newton_medium,0.80714,0.00000
ls_newton_medium,0.81435,0.00000
ls_newton_medium,0.82156,0.00000
ls_newton_medium,0.82876,0.00000
ls_newton_medium,0.83597,0.00000
ls_newton_medium,0.84318,0.00000
ls_newton_medium,0.85038,0.00000
ls_newton_medium,0.85759,0.00000
ls_newton_medium,0.86480,0.00000
ls_newton_medium,0.87200,0.00000
ls_newton_medium,0.87921,0.00000
ls_newton_medium,0.88642,0.00000
ls_newton_medium,0.89362,0.00000
ls_newton_medium,0.90083,0.00000
ls_newton_medium,0.90803,0.00000
ls_newton_medium,0.91524,0.00000
ls_newton_medium,0.92245,0.00000
ls_newton_medium,0.92965,0.00000
ls_newton_medium,0.93686,0.00000
ls_newton_medium,0.94407,0.00000
ls_newton_medium,0.95127,0.00000
ls_newton_medium,0.95848,0.00000
ls_newton_medium,0.96569,0.00000
ls_newton_medium,0.97289,0.00000
ls_newton_medium,0.98010,0.00000
ls_newton_medium,0.98731,0.00000
ls_newton_medium,0.99451,0.00000
ls_newton_medium,1.00172,0.00000
ls_newton_medium,1.00893,0.00000
ls_newton_medium,1.01613,0.00000
ls_newton_medium,1.02334,0.00000
ls_newton_medium,1.03055,0.00000
ls_newton_medium,1.03775,0.00000
ls_newton_medium,1.04496,0.00000
ls_newton_medium,1.05217,0.00000
ls_newton_medium,1.05937,0.00000
ls_newton_medium,1.06658,0.00000
ls_newton_medium,1.07379,0.00000
ls_newton_medium,1.08099,0.00000
ls_newton_medium,1.08820,0.00000
ls_newton_medium,1.09541,0.00000
ls_newton_medium,1.10261,0.00000
ls_newton_medium,1.10982,0.00000
ls_newton_medium,1.11703,0.00000
ls_newton_medium,1.12423,0.00000
ls_newton_medium,1.13144,0.00000
ls_newton_medium,1.13865,0.00000
ls_newton_medium,1.14585,0.00000
ls_newton_medium,1.15306,0.00000
ls_newton_medium,1.16027,0.00000
ls_newton_medium,1.16747,0.00000
ls_newton_medium,1.17468,0.00000
ls_newton_medium,1.18189,0.00000
ls_newton_medium,1.18909,0.00000
ls_newton_medium,1.19630,0.00000
ls_picard_medium,-0.00000,0.00000
ls_picard_medium,0.00721,0.00000
ls_picard_medium,0.01441,0.00000
ls_picard_medium,0.02162,0.00000
ls_picard_medium,0.02883,0.00000
ls_picard_medium,0.03603,0.00000
ls_picard_medium,0.04324,0.00000
ls_picard_medium,0.05045,0.00000
ls_picard_medium,0.05765,0.00000
ls_picard_medium,0.06486,0.00000
ls_picard_medium,0.07207,0.00000
ls_picard_medium,0.07927,0.00000
ls_picard_medium,0.08648,0.00000
ls_picard_medium,0.09369,0.00000
ls_picard_medium,0.10089,0.00000
ls_picard_medium,0.10810,0.00000
ls_picard_medium,0.11531,0.00000
ls_picard_medium,0.12251,0.00000
ls_picard_medium,0.12972,0.00000
ls_picard_medium,0.13693,0.00000
ls_picard_medium,0.14413,0.00000
ls_picard_medium,0.15134,0.00000
ls_picard_medium,0.15855,0.00000
ls_picard_medium,0.16575,0.00000
ls_picard_medium,0.17296,0.00000
ls_picard_medium,0.18017,0.00000
ls_picard_medium,0.18737,0.00000
ls_picard_medium,0.19458,0.00000
ls_picard_medium,0.20179,0.00000
ls_picard_medium,0.20899,0.00000
ls_picard_medium,0.21620,0.00000
ls_picard_medium,0.22341,0.00000
ls_picard_medium,0.23061,0.00000
ls_picard_medium,0.23782,0.00000
ls_picard_medium,0.24503,0.00000
ls_picard_medium,0.25223,0.00000
ls_picard_medium,0.25944,0.00000
ls_picard_medium,0.26665,0.00000
ls_picard_medium,0.27385,0.00000
ls_picard_medium,0.28106,0.00000
ls_picard_medium,0.28827,0.00000
ls_picard_medium,0.29547,0.00000
ls_picard_medium,0.30268,0.00000
ls_picard_medium,0.30988,0.00000
ls_picard_medium,0.31709,0.00000
ls_picard_medium,0.32430,0.00000
ls_picard_medium,0.33150,0.00000
ls_picard_medium,0.33871,0.00000
ls_picard_medium,0.34592,0.00000
ls_picard_medium,0.35312,0.00000
ls_picard_medium,0.36033,0.00000
ls_picard_medium,0.36754,0.00000
ls_picard_medium,0.37474,0.00000
ls_picard_medium,0.38195,0.00000
ls_picard_medium,0.38916,0.00000
ls_picard_medium,0.39636,0.00000
ls_picard_medium,0.40357,0.00000
ls_picard_medium,0.41078,0.00000
ls_picard_medium,0.41798,0.00000
ls_picard_medium,0.42519,0.00000
ls_picard_medium,0.43240,0.00000
ls_picard_medium,0.43960,0.00000
ls_picard_medium,0.44681,0.00000
ls_picard_medium,0.45402,0.00000
ls_picard_medium,0.46122,0.00000
ls_picard_medium,0.46843,0.00000
ls_picard_medium,0.47564,0.00000
ls_picard_medium,0.48284,0.00000
ls_picard_medium,0.49005,0.00000
ls_picard_medium,0.49726,0.00000
ls_picard_medium,0.50446,0.00000
ls_picard_medium,0.51167,0.00000
ls_picard_medium,0.51888,0.00000
ls_picard_medium,0.52608,0.00000
ls_picard_medium,0.53329,0.00000
ls_picard_medium,0.54050,0.00000
ls_picard_medium,0.54770,0.00000
ls_picard_medium,0.55491,0.00000
ls_picard_medium,0.56212,0.00000
ls_picard_medium,0.56932,0.00000
ls_picard_medium,0.57653,0.00000
ls_picard_medium,0.58374,0.00000
ls_picard_medium,0.59094,0.00000
ls_picard_medium,0.59815,0.00000
ls_picard_medium,0.60536,0.00000
ls_picard_medium,0.61256,0.00000
ls_picard_medium,0.61977,0.00000
ls_picard_medium,0.62698,0.00000
ls_picard_medium,0.63418,0.00000
ls_picard_medium,0.64139,0.00000
ls_picard_medium,0.64860,0.00000
ls_picard_medium,0.65580,0.00000
ls_picard_medium,0.66301,0.00000
ls_picard_medium,0.67022,0.00000
ls_picard_medium,0.67742,0.00000
ls_picard_medium,0.68463,0.00000
ls_picard_medium,0.69184,0.00000
ls_picard_medium,0.69904,0.00000
ls_picard_medium,0.70625,0.00000
ls_picard_medium,0.71346,0.00000
ls_picard_medium,0.72066,0.00000
ls_picard_medium,0.72787,0.00000
ls_picard_medium,0.73508,0.00000
ls_picard_medium,0.74228,0.00000
ls_picard_medium,0.74949,0.00000
ls_picard_medium,0.75670,0.00000
ls_picard_medium,0.76390,0.00000
ls_picard_medium,0.77111,0.00000
ls_picard_medium,0.77832,0.00000
ls_picard_medium,0.78552,0.00000
ls_picard_medium,0.79273,0.00000
ls_picard_medium,0.79994,0.00000
ls_picard_medium,0.80714,0.00000
ls_picard_medium,0.81435,0.00000
ls_picard_medium,0.82156,0.00000
ls_picard_medium,0.82876,0.00000
ls_picard_medium,0.83597,0.00000
ls_picard_medium,0.84318,0.00000
ls_picard_medium,0.85038,0.00000
ls_picard_medium,0.85759,0.00000
ls_picard_medium,0.86480,0.00000
ls_picard_medium,0.87200,0.00000
ls_picard_medium,0.87921,0.00000
ls_picard_medium,0.88642,0.00000
ls_picard_medium,0.89362,0.00000
ls_picard_medium,0.90083,0.00000
ls_picard_medium,0.90803,0.00000
ls_picard_medium,0.91524,0.00000
ls_picard_medium,0.92245,0.00000
ls_picard_medium,0.92965,0.00000
ls_picard_medium,0.93686,0.00000
ls_picard_medium,0.94407,0.00000
ls_picard_medium,0.95127,0.00000
ls_picard_medium,0.95848,0.00000
ls_picard_medium,0.96569,0.00000
ls_picard_medium,0.97289,0.00000
ls_picard_medium,0.98010,0.00000
ls_picard_medium,0.98731,0.00000
ls_picard_medium,0.99451,0.00000
ls_picard_medium,1.00172,0.00000
ls_picard_medium,1.00893,0.00000
ls_picard_medium,1.01613,0.00000
ls_picard_medium,1.02334,0.00000
ls_picard_medium,1.03055,0.00000
ls_picard_medium,1.03775,0.00000
ls_picard_medium,1.04496,0.00000
ls_picard_medium,1.05217,0.00000
ls_picard_medium,1.05937,0.00000
ls_picard_medium,1.06658,0.00000
ls_picard_medium,1.07379,0.00000
ls_picard_medium,1.08099,0.00000
ls_picard_medium,1.08820,0.00000
ls_picard_medium,1.09541,0.00000
ls_picard_medium,1.10261,0.00000
ls_picard_medium,1.10982,0.00000
ls_picard_medium,1.11703,0.00000
ls_picard_medium,1.12423,0.00000
ls_picard_medium,1.13144,0.00000
ls_picard_medium,1.13865,0.00000
ls_picard_medium,1.14585,0.00000
ls_picard_medium,1.15306,0.00000
ls_picard_medium,1.16027,0.00000
ls_picard_medium,1.16747,0.00000
ls_picard_medium,1.17468,0.00000
ls_picard_medium,1.18189,0.00000
ls_picard_medium,1.18909,0.00001
ls_picard_medium,1.19630,0.00002
