x_c,cp_incompressible,cp_pg,cp_kt,surface
0.000039,0.691506,0.798483,0.757942,upper
0.000100,0.626887,0.723866,0.690389,upper
0.000193,0.558203,0.644557,0.617879,upper
0.000316,0.486365,0.561606,0.541244,upper
0.000470,0.412321,0.476108,0.461393,upper
0.000655,0.337022,0.389159,0.379272,upper
0.000871,0.261386,0.301823,0.295842,upper
0.001118,0.186275,0.215092,0.212037,upper
0.001395,0.112463,0.129862,0.128742,upper
0.001703,0.040626,0.046911,0.046764,upper
0.002042,-0.028674,-0.033110,-0.033184,upper
0.002411,-0.094987,-0.109681,-0.110493,upper
0.002812,-0.157973,-0.182412,-0.184668,upper
0.003243,-0.217398,-0.251030,-0.255324,upper
0.003704,-0.273122,-0.315374,-0.322180,upper
0.004196,-0.325083,-0.375373,-0.385055,upper
0.004719,-0.373291,-0.431039,-0.443855,upper
0.005272,-0.417811,-0.482446,-0.498558,upper
0.005856,-0.458751,-0.529720,-0.549208,upper
0.006471,-0.496254,-0.573024,-0.595898,upper
0.007115,-0.530484,-0.612550,-0.638760,upper
0.007791,-0.561622,-0.648505,-0.677957,upper
0.008496,-0.589858,-0.681109,-0.713671,upper
0.009232,-0.615383,-0.710583,-0.746097,upper
0.009998,-0.638390,-0.737149,-0.775440,upper
0.010794,-0.659066,-0.761023,-0.801904,upper
0.011621,-0.677591,-0.782414,-0.825690,upper
0.012477,-0.694137,-0.801521,-0.846998,upper
0.013364,-0.708869,-0.818531,-0.866016,upper
0.014281,-0.721939,-0.833623,-0.882928,upper
0.015228,-0.733489,-0.846961,-0.897904,upper
0.016204,-0.743654,-0.858698,-0.911106,upper
0.017211,-0.752555,-0.868976,-0.922686,upper
0.018247,-0.760306,-0.877926,-0.932783,upper
0.019313,-0.767011,-0.885668,-0.941527,upper
0.020408,-0.772764,-0.892311,-0.949039,upper
0.021534,-0.777654,-0.897958,-0.955429,upper
0.022688,-0.781760,-0.902699,-0.960798,upper
0.023872,-0.785154,-0.906618,-0.965239,upper
0.025086,-0.787903,-0.909792,-0.968838,upper
0.026329,-0.790067,-0.912290,-0.971671,upper
0.027601,-0.791699,-0.914175,-0.973810,upper
0.028902,-0.792851,-0.915505,-0.975319,upper
0.030232,-0.793566,-0.916331,-0.976257,upper
0.031591,-0.793887,-0.916702,-0.976677,upper
0.032979,-0.793849,-0.916658,-0.976628,upper
0.034396,-0.793488,-0.916240,-0.976153,upper
0.035842,-0.792832,-0.915483,-0.975294,upper
0.037316,-0.791910,-0.914419,-0.974086,upper
0.038819,-0.790747,-0.913076,-0.972563,upper
0.040350,-0.789366,-0.911481,-0.970753,upper
0.041910,-0.787787,-0.909658,-0.968686,upper
0.043497,-0.786029,-0.907628,-0.966384,upper
0.045113,-0.784109,-0.905411,-0.963871,upper
0.046757,-0.782042,-0.903025,-0.961167,upper
0.048429,-0.779842,-0.900485,-0.958290,upper
0.050129,-0.777522,-0.897806,-0.955256,upper
0.051857,-0.775093,-0.895001,-0.952082,upper
0.053612,-0.772566,-0.892082,-0.948780,upper
0.055395,-0.769949,-0.889061,-0.945363,upper
0.057205,-0.767252,-0.885946,-0.941842,upper
0.059043,-0.764482,-0.882747,-0.938227,upper
0.060908,-0.761645,-0.879472,-0.934529,upper
0.062799,-0.758749,-0.876128,-0.930754,upper
0.064718,-0.755799,-0.872722,-0.926910,upper
0.066664,-0.752800,-0.869259,-0.923005,upper
0.068636,-0.749757,-0.865745,-0.919044,upper
0.070635,-0.746674,-0.862185,-0.915033,upper
0.072661,-0.743555,-0.858583,-0.910977,upper
0.074712,-0.740403,-0.854944,-0.906881,upper
0.076790,-0.737222,-0.851270,-0.902749,upper
0.078895,-0.734014,-0.847566,-0.898584,upper
0.081025,-0.730782,-0.843834,-0.894390,upper
0.083181,-0.727528,-0.840076,-0.890170,upper
0.085362,-0.724254,-0.836296,-0.885927,upper
0.087570,-0.720962,-0.832495,-0.881662,upper
0.089802,-0.717654,-0.828675,-0.877379,upper
0.092060,-0.714331,-0.824839,-0.873080,upper
0.094344,-0.710995,-0.820986,-0.868765,upper
0.096652,-0.707647,-0.817120,-0.864437,upper
0.098985,-0.704288,-0.813241,-0.860097,upper
0.101343,-0.700918,-0.809351,-0.855746,upper
0.103725,-0.697540,-0.805449,-0.851386,upper
0.106132,-0.694153,-0.801539,-0.847017,upper
0.108563,-0.690758,-0.797619,-0.842641,upper
0.111018,-0.687357,-0.793691,-0.838259,upper
0.113498,-0.683948,-0.789756,-0.833870,upper
0.116001,-0.680534,-0.785813,-0.829476,upper
0.118528,-0.677115,-0.781865,-0.825078,upper
0.121078,-0.673690,-0.777910,-0.820675,upper
0.123652,-0.670260,-0.773950,-0.816269,upper
0.126249,-0.666826,-0.769984,-0.811859,upper
0.128869,-0.663388,-0.766014,-0.807447,upper
0.131512,-0.659946,-0.762040,-0.803032,upper
0.134177,-0.656500,-0.758061,-0.798615,upper
0.136865,-0.653051,-0.754078,-0.794196,upper
0.139576,-0.649598,-0.750091,-0.789775,upper
0.142309,-0.646142,-0.746101,-0.785352,upper
0.145064,-0.642683,-0.742107,-0.780928,upper
0.147840,-0.639222,-0.738110,-0.776503,upper
0.150639,-0.635758,-0.734110,-0.772077,upper
0.153459,-0.632291,-0.730106,-0.767651,upper
0.156300,-0.628821,-0.726100,-0.763223,upper
0.159163,-0.625350,-0.722091,-0.758795,upper
0.162047,-0.621875,-0.718080,-0.754367,upper
0.164951,-0.618399,-0.714066,-0.749938,upper
0.167876,-0.614921,-0.710049,-0.745509,upper
0.170822,-0.611440,-0.706031,-0.741080,upper
0.173788,-0.607958,-0.702010,-0.736651,upper
0.176774,-0.604474,-0.697986,-0.732222,upper
0.179780,-0.600988,-0.693961,-0.727794,upper
0.182806,-0.597501,-0.689934,-0.723366,upper
0.185851,-0.594012,-0.685905,-0.718938,upper
0.188916,-0.590521,-0.681875,-0.714512,upper
0.192000,-0.587029,-0.677843,-0.710086,upper
0.195103,-0.583536,-0.673809,-0.705660,upper
0.198224,-0.580042,-0.669774,-0.701236,upper
0.201365,-0.576546,-0.665738,-0.696813,upper
0.204523,-0.573050,-0.661701,-0.692392,upper
0.207700,-0.569553,-0.657663,-0.687972,upper
0.210895,-0.566055,-0.653624,-0.683553,upper
0.214108,-0.562557,-0.649585,-0.679136,upper
0.217339,-0.559058,-0.645544,-0.674722,upper
0.220587,-0.555559,-0.641504,-0.670309,upper
0.223852,-0.552059,-0.637463,-0.665898,upper
0.227134,-0.548560,-0.633423,-0.661491,upper
0.230433,-0.545061,-0.629382,-0.657085,upper
0.233749,-0.541562,-0.625342,-0.652683,upper
0.237081,-0.538063,-0.621302,-0.648283,upper
0.240429,-0.534565,-0.617263,-0.643887,upper
0.243793,-0.531068,-0.613225,-0.639494,upper
0.247173,-0.527572,-0.609187,-0.635105,upper
0.250569,-0.524077,-0.605151,-0.630719,upper
0.253980,-0.520582,-0.601117,-0.626338,upper
0.257406,-0.517090,-0.597084,-0.621960,upper
0.260847,-0.513599,-0.593053,-0.617588,upper
0.264303,-0.510109,-0.589024,-0.613220,upper
0.267774,-0.506622,-0.584997,-0.608856,upper
0.271259,-0.503137,-0.580972,-0.604498,upper
0.274758,-0.499654,-0.576951,-0.600145,upper
0.278271,-0.496174,-0.572932,-0.595798,upper
0.281797,-0.492696,-0.568916,-0.591457,upper
0.285337,-0.489221,-0.564904,-0.587121,upper
0.288890,-0.485749,-0.560895,-0.582792,upper
0.292456,-0.482281,-0.556890,-0.578469,upper
0.296036,-0.478816,-0.552889,-0.574153,upper
0.299627,-0.475354,-0.548892,-0.569844,upper
0.303231,-0.471897,-0.544900,-0.565543,upper
0.306847,-0.468443,-0.540912,-0.561248,upper
0.310475,-0.464994,-0.536929,-0.556961,upper
0.314115,-0.461549,-0.532951,-0.552683,upper
0.317766,-0.458109,-0.528979,-0.548412,upper
0.321429,-0.454674,-0.525012,-0.544149,upper
0.325102,-0.451244,-0.521051,-0.539896,upper
0.328786,-0.447818,-0.517096,-0.535651,upper
0.332481,-0.444399,-0.513147,-0.531415,upper
0.336186,-0.440985,-0.509205,-0.527188,upper
0.339901,-0.437576,-0.505270,-0.522970,upper
0.343627,-0.434174,-0.501341,-0.518763,upper
0.347361,-0.430778,-0.497419,-0.514565,upper
0.351105,-0.427388,-0.493505,-0.510378,upper
0.354859,-0.424005,-0.489599,-0.506200,upper
0.358621,-0.420628,-0.485700,-0.502034,upper
0.362392,-0.417258,-0.481809,-0.497878,upper
0.366172,-0.413896,-0.477926,-0.493732,upper
0.369959,-0.410540,-0.474051,-0.489598,upper
0.373755,-0.407192,-0.470185,-0.485476,upper
0.377559,-0.403852,-0.466328,-0.481365,upper
0.381370,-0.400519,-0.462479,-0.477265,upper
0.385188,-0.397194,-0.458640,-0.473177,upper
0.389014,-0.393877,-0.454810,-0.469102,upper
0.392846,-0.390568,-0.450989,-0.465038,upper
0.396685,-0.387268,-0.447178,-0.460987,upper
0.400531,-0.383976,-0.443377,-0.456949,upper
0.404382,-0.380692,-0.439585,-0.452923,upper
0.408239,-0.377417,-0.435804,-0.448909,upper
0.412103,-0.374152,-0.432033,-0.444909,upper
0.415971,-0.370895,-0.428272,-0.440922,upper
0.419845,-0.367647,-0.424522,-0.436948,upper
0.423723,-0.364408,-0.420782,-0.432987,upper
0.427607,-0.361179,-0.417054,-0.429040,upper
0.431494,-0.357959,-0.413336,-0.425106,upper
0.435386,-0.354749,-0.409629,-0.421186,upper
0.439282,-0.351548,-0.405933,-0.417280,upper
0.443182,-0.348357,-0.402248,-0.413387,upper
0.447085,-0.345176,-0.398575,-0.409508,upper
0.450992,-0.342004,-0.394913,-0.405644,upper
0.454901,-0.338843,-0.391262,-0.401793,upper
0.458814,-0.335692,-0.387623,-0.397957,upper
0.462728,-0.332550,-0.383996,-0.394134,upper
0.466646,-0.329419,-0.380380,-0.390326,upper
0.470565,-0.326298,-0.376776,-0.386532,upper
0.474486,-0.323187,-0.373184,-0.382753,upper
0.478408,-0.320087,-0.369604,-0.378988,upper
0.482332,-0.316996,-0.366036,-0.375237,upper
0.486257,-0.313917,-0.362480,-0.371500,upper
0.490183,-0.310847,-0.358935,-0.367778,upper
0.494110,-0.307788,-0.355403,-0.364070,upper
0.498037,-0.304739,-0.351882,-0.360377,upper
0.501963,-0.301701,-0.348374,-0.356698,upper
0.505890,-0.298673,-0.344878,-0.353034,upper
0.509817,-0.295655,-0.341393,-0.349383,upper
0.513743,-0.292648,-0.337921,-0.345748,upper
0.517668,-0.289651,-0.334461,-0.342126,upper
0.521592,-0.286665,-0.331012,-0.338518,upper
0.525514,-0.283689,-0.327576,-0.334925,upper
0.529435,-0.280723,-0.324151,-0.331346,upper
0.533354,-0.277768,-0.320739,-0.327781,upper
0.537272,-0.274822,-0.317338,-0.324230,upper
0.541186,-0.271887,-0.313948,-0.320693,upper
0.545099,-0.268962,-0.310571,-0.317169,upper
0.549008,-0.266047,-0.307205,-0.313660,upper
0.552915,-0.263142,-0.303851,-0.310164,upper
0.556818,-0.260247,-0.300508,-0.306681,upper
0.560718,-0.257362,-0.297176,-0.303212,upper
0.564614,-0.254487,-0.293856,-0.299757,upper
0.568506,-0.251621,-0.290547,-0.296314,upper
0.572393,-0.248765,-0.287249,-0.292885,upper
0.576277,-0.245918,-0.283962,-0.289468,upper
0.580155,-0.243081,-0.280686,-0.286065,upper
0.584029,-0.240253,-0.277421,-0.282674,upper
0.587897,-0.237434,-0.274166,-0.279295,upper
0.591761,-0.234625,-0.270921,-0.275929,upper
0.595618,-0.231824,-0.267687,-0.272575,upper
0.599469,-0.229032,-0.264463,-0.269233,upper
0.603315,-0.226249,-0.261249,-0.265903,upper
0.607154,-0.223474,-0.258045,-0.262584,upper
0.610986,-0.220707,-0.254851,-0.259277,upper
0.614812,-0.217949,-0.251666,-0.255981,upper
0.618630,-0.215199,-0.248491,-0.252697,upper
0.622441,-0.212457,-0.245324,-0.249423,upper
0.626245,-0.209723,-0.242167,-0.246160,upper
0.630041,-0.206996,-0.239018,-0.242908,upper
0.633828,-0.204277,-0.235878,-0.239665,upper
0.637608,-0.201565,-0.232747,-0.236433,upper
0.641379,-0.198860,-0.229623,-0.233211,upper
0.645141,-0.196162,-0.226508,-0.229998,upper
0.648895,-0.193470,-0.223400,-0.226794,upper
0.652639,-0.190786,-0.220300,-0.223600,upper
0.656373,-0.188107,-0.217208,-0.220415,upper
0.660099,-0.185435,-0.214122,-0.217238,upper
0.663814,-0.182769,-0.211043,-0.214070,upper
0.667519,-0.180108,-0.207971,-0.210909,upper
0.671214,-0.177453,-0.204905,-0.207757,upper
0.674898,-0.174804,-0.201846,-0.204612,upper
0.678571,-0.172159,-0.198792,-0.201475,upper
0.682234,-0.169519,-0.195744,-0.198345,upper
0.685885,-0.166884,-0.192701,-0.195221,upper
0.689525,-0.164254,-0.189664,-0.192104,upper
0.693153,-0.161627,-0.186631,-0.188994,upper
0.696769,-0.159005,-0.183603,-0.185889,upper
0.700373,-0.156386,-0.180579,-0.182790,upper
0.703964,-0.153771,-0.177559,-0.179697,upper
0.707544,-0.151159,-0.174543,-0.176608,upper
0.711110,-0.148550,-0.171531,-0.173525,upper
0.714663,-0.145944,-0.168522,-0.170446,upper
0.718203,-0.143340,-0.165515,-0.167371,upper
0.721729,-0.140739,-0.162511,-0.164300,upper
0.725242,-0.138140,-0.159510,-0.161233,upper
0.728741,-0.135542,-0.156511,-0.158169,upper
0.732226,-0.132946,-0.153513,-0.155108,upper
0.735697,-0.130351,-0.150517,-0.152050,upper
0.739153,-0.127757,-0.147521,-0.148994,upper
0.742594,-0.125164,-0.144527,-0.145940,upper
0.746020,-0.122571,-0.141533,-0.142888,upper
0.749431,-0.119979,-0.138540,-0.139837,upper
0.752827,-0.117386,-0.135546,-0.136788,upper
0.756207,-0.114793,-0.132552,-0.133739,upper
0.759571,-0.112199,-0.129557,-0.130691,upper
0.762919,-0.109605,-0.126561,-0.127643,upper
0.766251,-0.107009,-0.123563,-0.124594,upper
0.769567,-0.104411,-0.120564,-0.121545,upper
0.772866,-0.101812,-0.117563,-0.118496,upper
0.776148,-0.099211,-0.114559,-0.115445,upper
0.779413,-0.096607,-0.111552,-0.112392,upper
0.782661,-0.094001,-0.108543,-0.109338,upper
0.785892,-0.091391,-0.105530,-0.106281,upper
0.789105,-0.088779,-0.102513,-0.103222,upper
0.792300,-0.086163,-0.099492,-0.100160,upper
0.795477,-0.083543,-0.096467,-0.097094,upper
0.798635,-0.080918,-0.093437,-0.094025,upper
0.801776,-0.078290,-0.090401,-0.090952,upper
0.804897,-0.075656,-0.087360,-0.087875,upper
0.808000,-0.073018,-0.084314,-0.084793,upper
0.811084,-0.070374,-0.081261,-0.081706,upper
0.814149,-0.067724,-0.078201,-0.078613,upper
0.817194,-0.065069,-0.075135,-0.075515,upper
0.820220,-0.062407,-0.072061,-0.072411,upper
0.823226,-0.059738,-0.068980,-0.069300,upper
0.826212,-0.057063,-0.065890,-0.066182,upper
0.829178,-0.054380,-0.062792,-0.063058,upper
0.832124,-0.051689,-0.059686,-0.059925,upper
0.835049,-0.048991,-0.056570,-0.056785,upper
0.837953,-0.046284,-0.053444,-0.053636,upper
0.840837,-0.043569,-0.050309,-0.050479,upper
0.843700,-0.040844,-0.047163,-0.047313,upper
0.846541,-0.038111,-0.044007,-0.044137,upper
0.849361,-0.035368,-0.040839,-0.040951,upper
0.852160,-0.032614,-0.037660,-0.037755,upper
0.854936,-0.029851,-0.034469,-0.034548,upper
0.857691,-0.027076,-0.031265,-0.031331,upper
0.860424,-0.024291,-0.028049,-0.028102,upper
0.863135,-0.021494,-0.024819,-0.024861,upper
0.865823,-0.018686,-0.021576,-0.021607,upper
0.868488,-0.015865,-0.018319,-0.018342,upper
0.871131,-0.013031,-0.015047,-0.015063,upper
0.873751,-0.010185,-0.011761,-0.011770,upper
0.876348,-0.007326,-0.008459,-0.008464,upper
0.878922,-0.004452,-0.005141,-0.005143,upper
0.881472,-0.001565,-0.001807,-0.001807,upper
0.883999,0.001337,0.001544,0.001544,upper
0.886502,0.004254,0.004912,0.004911,upper
0.888982,0.007187,0.008298,0.008294,upper
0.891437,0.010135,0.011703,0.011693,upper
0.893868,0.013099,0.015126,0.015110,upper
0.896275,0.016080,0.018568,0.018545,upper
0.898657,0.019079,0.022030,0.021998,upper
0.901015,0.022095,0.025513,0.025469,upper
0.903348,0.025129,0.029017,0.028960,upper
0.905656,0.028182,0.032542,0.032471,upper
0.907940,0.031254,0.036089,0.036002,upper
0.910198,0.034346,0.039659,0.039554,upper
0.912430,0.037458,0.043252,0.043127,upper
0.914638,0.040590,0.046870,0.046723,upper
0.916819,0.043744,0.050512,0.050341,upper
0.918975,0.046920,0.054179,0.053983,upper
0.921105,0.050119,0.057872,0.057649,upper
0.923210,0.053341,0.061593,0.061339,upper
0.925288,0.056586,0.065340,0.065055,upper
0.927339,0.059856,0.069116,0.068798,upper
0.929365,0.063152,0.072921,0.072567,upper
0.931364,0.066473,0.076756,0.076364,upper
0.933336,0.069821,0.080622,0.080189,upper
0.935282,0.073196,0.084520,0.084044,upper
0.937201,0.076600,0.088450,0.087929,upper
0.939092,0.080033,0.092414,0.091845,upper
0.940957,0.083496,0.096412,0.095794,upper
0.942795,0.086989,0.100447,0.099775,upper
0.944605,0.090515,0.104518,0.103791,upper
0.946388,0.094074,0.108627,0.107842,upper
0.948143,0.097666,0.112775,0.111930,upper
0.949871,0.101294,0.116964,0.116055,upper
0.951571,0.104957,0.121194,0.120218,upper
0.953243,0.108659,0.125468,0.124422,upper
0.954887,0.112398,0.129787,0.128668,upper
0.956503,0.116178,0.134151,0.132956,upper
0.958090,0.120000,0.138564,0.137289,upper
0.959650,0.123864,0.143026,0.141669,upper
0.961181,0.127773,0.147540,0.146096,upper
0.962684,0.131728,0.152106,0.150572,upper
0.964158,0.135731,0.156729,0.155100,upper
0.965604,0.139784,0.161409,0.159682,upper
0.967021,0.143889,0.166149,0.164320,upper
0.968409,0.148048,0.170951,0.169015,upper
0.969768,0.152263,0.175818,0.173771,upper
0.971098,0.156536,0.180752,0.178590,upper
0.972399,0.160871,0.185758,0.183475,upper
0.973671,0.165270,0.190837,0.188428,upper
0.974914,0.169735,0.195993,0.193453,upper
0.976128,0.174271,0.201230,0.198554,upper
0.977312,0.178879,0.206552,0.203733,upper
0.978466,0.183565,0.211963,0.208995,upper
0.979592,0.188332,0.217467,0.214345,upper
0.980687,0.193184,0.223070,0.219785,upper
0.981753,0.198126,0.228776,0.225323,upper
0.982789,0.203162,0.234591,0.230962,upper
0.983796,0.208298,0.240522,0.236709,upper
0.984772,0.213541,0.246576,0.242569,upper
0.985719,0.218896,0.252759,0.248551,upper
0.986636,0.224370,0.259080,0.254661,upper
0.987523,0.229972,0.265548,0.260907,upper
0.988379,0.235709,0.272173,0.267300,upper
0.989206,0.241591,0.278966,0.273848,upper
0.990002,0.247629,0.285938,0.280564,upper
0.990768,0.253835,0.293103,0.287459,upper
0.991504,0.260220,0.300476,0.294548,upper
0.992209,0.266800,0.308075,0.301845,upper
0.992885,0.273592,0.315917,0.309370,upper
0.993529,0.280614,0.324025,0.317142,upper
0.994144,0.287888,0.332424,0.325183,upper
0.994728,0.295437,0.341141,0.333520,upper
0.995281,0.303291,0.350210,0.342182,upper
0.995804,0.311482,0.359668,0.351207,upper
0.996296,0.320049,0.369561,0.360633,upper
0.996757,0.329039,0.379941,0.370511,upper
0.997188,0.338505,0.390872,0.380899,upper
0.997589,0.348517,0.402432,0.391868,upper
0.997958,0.359155,0.414716,0.403507,upper
0.998297,0.370523,0.427843,0.415923,upper
0.998605,0.382753,0.441966,0.429257,upper
0.998882,0.396018,0.457282,0.443691,upper
0.999129,0.410547,0.474059,0.459468,upper
0.999345,0.426661,0.492666,0.476926,upper
0.999530,0.444824,0.513639,0.496554,upper
0.999684,0.465746,0.537797,0.519096,upper
0.999807,0.490593,0.566488,0.545777,upper
0.999900,0.521493,0.602168,0.578820,upper
0.999961,0.562928,0.650014,0.622891,upper
0.999992,0.624694,0.721334,0.688086,upper
