x_c,surface,dstar_over_c,cf
0.000010,upper,4.100000e-05,6.329000e-03
0.000080,upper,4.100000e-05,7.369000e-03
0.000220,upper,4.200000e-05,8.332000e-03
0.000440,upper,4.300000e-05,9.165000e-03
0.000740,upper,4.500000e-05,9.818000e-03
0.001110,upper,4.700000e-05,1.029600e-02
0.001580,upper,4.900000e-05,1.056000e-02
0.002120,upper,5.200000e-05,1.065600e-02
0.002750,upper,5.500000e-05,1.057300e-02
0.003460,upper,5.900000e-05,1.036300e-02
0.004250,upper,6.200000e-05,1.003800e-02
0.005130,upper,6.700000e-05,9.645000e-03
0.006090,upper,7.100000e-05,9.189000e-03
0.007140,upper,7.600000e-05,8.714000e-03
0.008270,upper,8.100000e-05,8.217000e-03
0.009500,upper,8.700000e-05,7.725000e-03
0.010830,upper,9.300000e-05,7.243000e-03
0.012260,upper,9.900000e-05,6.772000e-03
0.013790,upper,1.050000e-04,6.328000e-03
0.015440,upper,1.120000e-04,5.901000e-03
0.017210,upper,1.190000e-04,5.498000e-03
0.019120,upper,1.270000e-04,5.122000e-03
0.021180,upper,1.350000e-04,4.766000e-03
0.023390,upper,1.430000e-04,4.435000e-03
0.025780,upper,1.510000e-04,4.126000e-03
0.028360,upper,1.600000e-04,3.836000e-03
0.031150,upper,1.700000e-04,3.566000e-03
0.034170,upper,1.800000e-04,3.314000e-03
0.037450,upper,1.900000e-04,3.080000e-03
0.041010,upper,2.010000e-04,2.862000e-03
0.044870,upper,2.120000e-04,2.658000e-03
0.049070,upper,2.240000e-04,2.469000e-03
0.053610,upper,2.370000e-04,2.294000e-03
0.058520,upper,2.500000e-04,2.131000e-03
0.063800,upper,2.640000e-04,1.980000e-03
0.069470,upper,2.780000e-04,1.841000e-03
0.075510,upper,2.930000e-04,1.713000e-03
0.081910,upper,3.090000e-04,1.594000e-03
0.088650,upper,3.240000e-04,1.486000e-03
0.095700,upper,3.400000e-04,1.385000e-03
0.103010,upper,3.570000e-04,1.293000e-03
0.110570,upper,3.730000e-04,1.208000e-03
0.118350,upper,3.900000e-04,1.130000e-03
0.126300,upper,4.070000e-04,1.058000e-03
0.134410,upper,4.240000e-04,9.910000e-04
0.142650,upper,4.410000e-04,9.280000e-04
0.151010,upper,4.590000e-04,8.700000e-04
0.159460,upper,4.760000e-04,8.160000e-04
0.168010,upper,4.940000e-04,7.650000e-04
0.176630,upper,5.120000e-04,7.170000e-04
0.185320,upper,5.300000e-04,6.730000e-04
0.194070,upper,5.480000e-04,6.320000e-04
0.202880,upper,5.650000e-04,5.940000e-04
0.211730,upper,5.830000e-04,5.600000e-04
0.220630,upper,6.000000e-04,5.300000e-04
0.229570,upper,6.170000e-04,5.060000e-04
0.238540,upper,6.320000e-04,4.890000e-04
0.247560,upper,6.430000e-04,4.840000e-04
0.256600,upper,6.490000e-04,5.000000e-04
0.265670,upper,6.400000e-04,5.660000e-04
0.274770,upper,5.740000e-04,1.256000e-03
0.283900,upper,4.960000e-04,2.782000e-03
0.293050,upper,4.580000e-04,4.207000e-03
0.302220,upper,4.550000e-04,5.036000e-03
0.311410,upper,4.690000e-04,5.396000e-03
0.320620,upper,4.930000e-04,5.497000e-03
0.329850,upper,5.220000e-04,5.470000e-03
0.339100,upper,5.530000e-04,5.386000e-03
0.348370,upper,5.860000e-04,5.278000e-03
0.357650,upper,6.190000e-04,5.162000e-03
0.366950,upper,6.520000e-04,5.048000e-03
0.376260,upper,6.860000e-04,4.939000e-03
0.385580,upper,7.200000e-04,4.835000e-03
0.394920,upper,7.530000e-04,4.739000e-03
0.404260,upper,7.870000e-04,4.648000e-03
0.413620,upper,8.210000e-04,4.564000e-03
0.422990,upper,8.540000e-04,4.485000e-03
0.432370,upper,8.880000e-04,4.411000e-03
0.441770,upper,9.220000e-04,4.341000e-03
0.451160,upper,9.550000e-04,4.275000e-03
0.460570,upper,9.890000e-04,4.212000e-03
0.469990,upper,1.023000e-03,4.152000e-03
0.479410,upper,1.057000e-03,4.095000e-03
0.488850,upper,1.090000e-03,4.040000e-03
0.498290,upper,1.125000e-03,3.987000e-03
0.507730,upper,1.159000e-03,3.936000e-03
0.517180,upper,1.193000e-03,3.887000e-03
0.526640,upper,1.228000e-03,3.839000e-03
0.536110,upper,1.262000e-03,3.793000e-03
0.545580,upper,1.297000e-03,3.748000e-03
0.555050,upper,1.332000e-03,3.704000e-03
0.564530,upper,1.367000e-03,3.661000e-03
0.574010,upper,1.403000e-03,3.619000e-03
0.583500,upper,1.439000e-03,3.578000e-03
0.592990,upper,1.475000e-03,3.538000e-03
0.602490,upper,1.511000e-03,3.498000e-03
0.611990,upper,1.548000e-03,3.459000e-03
0.621490,upper,1.584000e-03,3.421000e-03
0.631000,upper,1.622000e-03,3.383000e-03
0.640500,upper,1.659000e-03,3.346000e-03
0.650010,upper,1.697000e-03,3.309000e-03
0.659520,upper,1.736000e-03,3.272000e-03
0.669040,upper,1.775000e-03,3.235000e-03
0.678550,upper,1.814000e-03,3.199000e-03
0.688070,upper,1.854000e-03,3.163000e-03
0.697590,upper,1.895000e-03,3.127000e-03
0.707100,upper,1.936000e-03,3.091000e-03
0.716620,upper,1.978000e-03,3.055000e-03
0.726140,upper,2.020000e-03,3.019000e-03
0.735660,upper,2.064000e-03,2.983000e-03
0.745180,upper,2.108000e-03,2.947000e-03
0.754700,upper,2.153000e-03,2.910000e-03
0.764220,upper,2.200000e-03,2.873000e-03
0.773740,upper,2.248000e-03,2.835000e-03
0.783250,upper,2.296000e-03,2.797000e-03
0.792770,upper,2.347000e-03,2.758000e-03
0.802280,upper,2.399000e-03,2.718000e-03
0.811790,upper,2.453000e-03,2.677000e-03
0.821300,upper,2.509000e-03,2.636000e-03
0.830810,upper,2.568000e-03,2.593000e-03
0.840310,upper,2.629000e-03,2.548000e-03
0.849800,upper,2.693000e-03,2.502000e-03
0.859300,upper,2.761000e-03,2.454000e-03
0.868780,upper,2.833000e-03,2.404000e-03
0.878250,upper,2.910000e-03,2.351000e-03
0.887700,upper,2.992000e-03,2.295000e-03
0.897130,upper,3.081000e-03,2.237000e-03
0.906520,upper,3.177000e-03,2.174000e-03
0.915870,upper,3.283000e-03,2.108000e-03
0.925130,upper,3.399000e-03,2.037000e-03
0.934290,upper,3.529000e-03,1.960000e-03
0.943280,upper,3.673000e-03,1.879000e-03
0.952050,upper,3.834000e-03,1.792000e-03
0.960520,upper,4.015000e-03,1.700000e-03
0.968580,upper,4.217000e-03,1.603000e-03
0.976170,upper,4.441000e-03,1.503000e-03
0.983190,upper,4.687000e-03,1.403000e-03
0.989620,upper,4.950000e-03,1.303000e-03
0.995430,upper,5.234000e-03,1.205000e-03
1.000000,upper,5.430000e-03,1.144000e-03
0.000010,lower,4.100000e-05,5.215000e-03
0.000080,lower,4.100000e-05,4.126000e-03
0.000220,lower,4.100000e-05,2.938000e-03
0.000440,lower,4.100000e-05,1.817000e-03
0.000740,lower,4.300000e-05,6.870000e-04
0.001110,lower,4.300000e-05,3.420000e-04
0.001580,lower,4.500000e-05,1.261000e-03
0.002120,lower,4.600000e-05,2.098000e-03
0.002750,lower,4.800000e-05,2.767000e-03
0.003460,lower,5.100000e-05,3.356000e-03
0.004250,lower,5.300000e-05,3.794000e-03
0.005130,lower,5.600000e-05,4.151000e-03
0.006090,lower,5.900000e-05,4.401000e-03
0.007140,lower,6.200000e-05,4.581000e-03
0.008270,lower,6.500000e-05,4.688000e-03
0.009500,lower,6.900000e-05,4.743000e-03
0.010830,lower,7.300000e-05,4.752000e-03
0.012260,lower,7.700000e-05,4.724000e-03
0.013790,lower,8.100000e-05,4.669000e-03
0.015440,lower,8.600000e-05,4.589000e-03
0.017210,lower,9.000000e-05,4.492000e-03
0.019120,lower,9.500000e-05,4.383000e-03
0.021180,lower,1.010000e-04,4.261000e-03
0.023390,lower,1.060000e-04,4.132000e-03
0.025780,lower,1.120000e-04,3.999000e-03
0.028360,lower,1.180000e-04,3.860000e-03
0.031150,lower,1.240000e-04,3.720000e-03
0.034170,lower,1.310000e-04,3.578000e-03
0.037450,lower,1.380000e-04,3.437000e-03
0.041010,lower,1.460000e-04,3.295000e-03
0.044870,lower,1.540000e-04,3.156000e-03
0.049070,lower,1.620000e-04,3.018000e-03
0.053610,lower,1.710000e-04,2.883000e-03
0.058520,lower,1.800000e-04,2.751000e-03
0.063800,lower,1.900000e-04,2.624000e-03
0.069470,lower,2.000000e-04,2.500000e-03
0.075510,lower,2.100000e-04,2.383000e-03
0.081910,lower,2.210000e-04,2.270000e-03
0.088650,lower,2.320000e-04,2.163000e-03
0.095700,lower,2.440000e-04,2.063000e-03
0.103010,lower,2.550000e-04,1.968000e-03
0.110570,lower,2.670000e-04,1.879000e-03
0.118350,lower,2.790000e-04,1.795000e-03
0.126300,lower,2.900000e-04,1.717000e-03
0.134410,lower,3.020000e-04,1.643000e-03
0.142650,lower,3.140000e-04,1.574000e-03
0.151010,lower,3.260000e-04,1.509000e-03
0.159460,lower,3.380000e-04,1.448000e-03
0.168010,lower,3.500000e-04,1.391000e-03
0.176630,lower,3.620000e-04,1.337000e-03
0.185320,lower,3.740000e-04,1.285000e-03
0.194070,lower,3.860000e-04,1.237000e-03
0.202880,lower,3.980000e-04,1.191000e-03
0.211730,lower,4.100000e-04,1.148000e-03
0.220630,lower,4.210000e-04,1.106000e-03
0.229570,lower,4.330000e-04,1.067000e-03
0.238540,lower,4.450000e-04,1.031000e-03
0.247560,lower,4.570000e-04,9.960000e-04
0.256600,lower,4.690000e-04,9.640000e-04
0.265670,lower,4.800000e-04,9.350000e-04
0.274770,lower,4.910000e-04,9.100000e-04
0.283900,lower,5.000000e-04,8.930000e-04
0.293050,lower,5.070000e-04,8.920000e-04
0.302220,lower,5.030000e-04,9.620000e-04
0.311410,lower,4.570000e-04,1.679000e-03
0.320620,lower,4.090000e-04,2.972000e-03
0.329850,lower,3.910000e-04,4.031000e-03
0.339100,lower,3.970000e-04,4.578000e-03
0.348370,lower,4.170000e-04,4.777000e-03
0.357650,lower,4.420000e-04,4.801000e-03
0.366950,lower,4.700000e-04,4.750000e-03
0.376260,lower,5.000000e-04,4.669000e-03
0.385580,lower,5.300000e-04,4.580000e-03
0.394920,lower,5.600000e-04,4.492000e-03
0.404260,lower,5.900000e-04,4.409000e-03
0.413620,lower,6.200000e-04,4.332000e-03
0.422990,lower,6.500000e-04,4.261000e-03
0.432370,lower,6.800000e-04,4.195000e-03
0.441770,lower,7.090000e-04,4.134000e-03
0.451160,lower,7.380000e-04,4.078000e-03
0.460570,lower,7.680000e-04,4.025000e-03
0.469990,lower,7.970000e-04,3.975000e-03
0.479410,lower,8.260000e-04,3.928000e-03
0.488850,lower,8.550000e-04,3.883000e-03
0.498290,lower,8.840000e-04,3.841000e-03
0.507730,lower,9.130000e-04,3.800000e-03
0.517180,lower,9.420000e-04,3.761000e-03
0.526640,lower,9.710000e-04,3.723000e-03
0.536110,lower,1.000000e-03,3.686000e-03
0.545580,lower,1.029000e-03,3.650000e-03
0.555050,lower,1.058000e-03,3.616000e-03
0.564530,lower,1.087000e-03,3.582000e-03
0.574010,lower,1.117000e-03,3.549000e-03
0.583500,lower,1.146000e-03,3.517000e-03
0.592990,lower,1.176000e-03,3.485000e-03
0.602490,lower,1.205000e-03,3.454000e-03
0.611990,lower,1.235000e-03,3.423000e-03
0.621490,lower,1.265000e-03,3.393000e-03
0.631000,lower,1.295000e-03,3.364000e-03
0.640500,lower,1.325000e-03,3.334000e-03
0.650010,lower,1.356000e-03,3.305000e-03
0.659520,lower,1.387000e-03,3.277000e-03
0.669040,lower,1.417000e-03,3.248000e-03
0.678550,lower,1.449000e-03,3.220000e-03
0.688070,lower,1.480000e-03,3.192000e-03
0.697590,lower,1.512000e-03,3.164000e-03
0.707100,lower,1.544000e-03,3.136000e-03
0.716620,lower,1.576000e-03,3.108000e-03
0.726140,lower,1.609000e-03,3.080000e-03
0.735660,lower,1.642000e-03,3.052000e-03
0.745180,lower,1.676000e-03,3.024000e-03
0.754700,lower,1.710000e-03,2.995000e-03
0.764220,lower,1.745000e-03,2.966000e-03
0.773740,lower,1.781000e-03,2.937000e-03
0.783250,lower,1.817000e-03,2.907000e-03
0.792770,lower,1.854000e-03,2.877000e-03
0.802280,lower,1.892000e-03,2.846000e-03
0.811790,lower,1.931000e-03,2.814000e-03
0.821300,lower,1.971000e-03,2.781000e-03
0.830810,lower,2.013000e-03,2.748000e-03
0.840310,lower,2.056000e-03,2.713000e-03
0.849800,lower,2.101000e-03,2.677000e-03
0.859300,lower,2.147000e-03,2.639000e-03
0.868780,lower,2.197000e-03,2.599000e-03
0.878250,lower,2.248000e-03,2.557000e-03
0.887700,lower,2.303000e-03,2.513000e-03
0.897130,lower,2.362000e-03,2.466000e-03
0.906520,lower,2.424000e-03,2.416000e-03
0.915870,lower,2.492000e-03,2.362000e-03
0.925130,lower,2.566000e-03,2.304000e-03
0.934290,lower,2.648000e-03,2.241000e-03
0.943280,lower,2.738000e-03,2.172000e-03
0.952050,lower,2.838000e-03,2.098000e-03
0.960520,lower,2.950000e-03,2.017000e-03
0.968580,lower,3.076000e-03,1.929000e-03
0.976170,lower,3.216000e-03,1.836000e-03
0.983190,lower,3.373000e-03,1.738000e-03
0.989620,lower,3.545000e-03,1.637000e-03
0.995430,lower,3.739000e-03,1.531000e-03
1.000000,lower,3.854000e-03,1.475000e-03
